ViPhOG	Best_taxon	Rank	Max_evalue
ViPhOG9966	Bixzunavirus	Genus	1.7e-42
ViPhOG8014	Mimivirus	Genus	3.6e-163
ViPhOG3240	Alphabaculovirus	Genus	2e-16
ViPhOG18043	Andromedavirus	Genus	4.4e-141
ViPhOG21967	Corndogvirus	Genus	5.4e-38
ViPhOG12013	Bruynoghevirus	Genus	1.7e-23
ViPhOG27418	Yuavirus	Genus	7.4e-47
ViPhOG17516	Mimivirus	Genus	4.9e-06
ViPhOG8819	Orthopoxvirus	Genus	2.7e-06
ViPhOG23898	Kochikohdavirus	Genus	0.0
ViPhOG3538	Avipoxvirus	Genus	3.4e-10
ViPhOG30981	Pagevirus	Genus	5.2e-60
ViPhOG6388	Cytomegalovirus	Genus	2.7e-51
ViPhOG11903	Krischvirus	Genus	3.8e-47
ViPhOG24538	Moonvirus	Genus	8.9e-40
ViPhOG6441	Foveavirus	Genus	1.2e-13
ViPhOG12739	Potyvirus	Genus	8.3e-15
ViPhOG11316	Phifelvirus	Genus	5.3e-44
ViPhOG1380	Hypovirus	Genus	3.9e-19
ViPhOG20407	Marseillevirus	Genus	8.6e-30
ViPhOG6040	Orthopoxvirus	Genus	2.9e-11
ViPhOG6841	Mimivirus	Genus	2.1e-73
ViPhOG16341	Fromanvirus	Genus	1.8e-40
ViPhOG17242	Pahexavirus	Genus	6.8e-27
ViPhOG3764	Asfivirus	Genus	1e-47
ViPhOG12006	Capillovirus	Genus	6.9e-31
ViPhOG29194	Certrevirus	Genus	1.5e-40
ViPhOG10089	Deltacoronavirus	Genus	3e-09
ViPhOG3124	Alphabaculovirus	Genus	1.9e-05
ViPhOG6712	Tequintavirus	Genus	5.4e-13
ViPhOG13405	Baltimorevirus	Genus	3.2e-23
ViPhOG1278	Mastadenovirus	Genus	0.00037
ViPhOG30250	Alcyoneusvirus	Genus	2.2e-80
ViPhOG27593	Chlorovirus	Genus	2.7e-05
ViPhOG25537	Lymphocystivirus	Genus	2.8e-159
ViPhOG12007	Capillovirus	Genus	0.00026
ViPhOG8254	Mimivirus	Genus	5.5e-07
ViPhOG1458	Rhadinovirus	Genus	3.7e-47
ViPhOG8569	Cytomegalovirus	Genus	1.6e-08
ViPhOG14242	Cheoctovirus	Genus	2.1e-28
ViPhOG21699	Bignuzvirus	Genus	3.2e-44
ViPhOG335	Cardiovirus	Genus	9.4e-38
ViPhOG10165	Cytomegalovirus	Genus	5.5e-62
ViPhOG10164	Cytomegalovirus	Genus	1.7e-29
ViPhOG22646	Gaprivervirus	Genus	9.4e-21
ViPhOG27028	Rauchvirus	Genus	1.4e-93
ViPhOG3941	Mastadenovirus	Genus	0.0004
ViPhOG7226	Mimivirus	Genus	3.5e-25
ViPhOG22462	Parapoxvirus	Genus	8.1e-09
ViPhOG16254	Deltacoronavirus	Genus	2.2e-06
ViPhOG9029	Cytomegalovirus	Genus	3.5e-09
ViPhOG10885	Pegunavirus	Genus	4.7e-52
ViPhOG9220	Brussowvirus	Genus	1.6e-32
ViPhOG11230	Parapoxvirus	Genus	1.3e-09
ViPhOG3557	Sobemovirus	Genus	7.4e-22
ViPhOG6394	Cytomegalovirus	Genus	2.9e-57
ViPhOG6814	Pestivirus	Genus	5.2e-06
ViPhOG8563	Cytomegalovirus	Genus	1.1e-45
ViPhOG20885	Gelderlandvirus	Genus	4e-135
ViPhOG18172	Kochikohdavirus	Genus	2.1e-50
ViPhOG6881	Mimivirus	Genus	4.3e-25
ViPhOG14336	Fromanvirus	Genus	1.7e-05
ViPhOG20413	Marseillevirus	Genus	1.7e-27
ViPhOG13941	Varicellovirus	Genus	2.8e-44
ViPhOG27373	Septimatrevirus	Genus	2.3e-38
ViPhOG4194	Cyprinivirus	Genus	2.1e-50
ViPhOG8570	Cytomegalovirus	Genus	1.8e-17
ViPhOG22408	Enhodamvirus	Genus	1.6e-99
ViPhOG9932	Velarivirus	Genus	1.5e-47
ViPhOG14263	Cheoctovirus	Genus	4.4e-18
ViPhOG27896	Pepyhexavirus	Genus	0.0
ViPhOG1280	Mastadenovirus	Genus	0.00012
ViPhOG8266	Mimivirus	Genus	7.6e-81
ViPhOG15808	Bronvirus	Genus	1.6e-36
ViPhOG22447	Parapoxvirus	Genus	1.6e-13
ViPhOG24059	Emdodecavirus	Genus	2.1e-37
ViPhOG3291	Alphabaculovirus	Genus	8.5e-18
ViPhOG832	Simplexvirus	Genus	1e-30
ViPhOG6827	Mimivirus	Genus	4.1e-26
ViPhOG26720	Krischvirus	Genus	1.3e-243
ViPhOG6751	Tequintavirus	Genus	1.2e-145
ViPhOG8504	Cytomegalovirus	Genus	8.6e-22
ViPhOG16435	Cytomegalovirus	Genus	1.2e-22
ViPhOG15876	Bocaparvovirus	Genus	1.9e-27
ViPhOG22448	Parapoxvirus	Genus	1.4e-23
ViPhOG10019	Bixzunavirus	Genus	4e-54
ViPhOG6422	Alphaarterivirus	Genus	2.6e-137
ViPhOG9345	Orthopoxvirus	Genus	2.7e-06
ViPhOG16374	Rhadinovirus	Genus	1.6e-50
ViPhOG8494	Cytomegalovirus	Genus	4.2e-22
ViPhOG8577	Cytomegalovirus	Genus	3.5e-53
ViPhOG6273	Vitivirus	Genus	3.5e-19
ViPhOG30686	Likavirus	Genus	7e-40
ViPhOG3331	Alphacoronavirus	Genus	9.7e-22
ViPhOG7194	Mimivirus	Genus	1.5e-158
ViPhOG23265	Slashvirus	Genus	2.9e-109
ViPhOG20805	Simplexvirus	Genus	3.2e-52
ViPhOG1130	Lymphocryptovirus	Genus	6.7e-11
ViPhOG20927	Simplexvirus	Genus	0.00055
ViPhOG11252	Ampelovirus	Genus	0.00033
ViPhOG7224	Mimivirus	Genus	3.1e-21
ViPhOG826	Simplexvirus	Genus	8.3e-35
ViPhOG14161	Kostyavirus	Genus	3e-75
ViPhOG18532	Siminovitchvirus	Genus	9.8e-85
ViPhOG14868	Mimivirus	Genus	1.7e-37
ViPhOG8685	Bequatrovirus	Genus	2.9e-36
ViPhOG13244	Orthopoxvirus	Genus	1.9e-28
ViPhOG7957	Mimivirus	Genus	5.2e-241
ViPhOG3242	Alphabaculovirus	Genus	5.5e-08
ViPhOG1562	Orthopoxvirus	Genus	4e-101
ViPhOG11178	Kostyavirus	Genus	2.8e-61
ViPhOG11151	Kostyavirus	Genus	5.5e-28
ViPhOG1138	Lymphocryptovirus	Genus	9.2e-09
ViPhOG10096	Gammapolyomavirus	Genus	6e-32
ViPhOG10131	Cytomegalovirus	Genus	1.1e-23
ViPhOG11239	Parapoxvirus	Genus	5e-24
ViPhOG3937	Asfivirus	Genus	4.2e-16
ViPhOG26002	Gammapartitivirus	Genus	5.5e-94
ViPhOG1612	Orthopoxvirus	Genus	4.7e-145
ViPhOG1550	Orthopoxvirus	Genus	2.2e-168
ViPhOG20841	Zindervirus	Genus	4.5e-44
ViPhOG11240	Parapoxvirus	Genus	3.4e-23
ViPhOG10878	Pegunavirus	Genus	1.4e-44
ViPhOG16884	Avunavirus	Genus	6.6e-61
ViPhOG17729	Mimivirus	Genus	6.6e-06
ViPhOG8586	Cytomegalovirus	Genus	5.6e-58
ViPhOG1137	Lymphocryptovirus	Genus	9.4e-42
ViPhOG8676	Pecentumvirus	Genus	4.8e-68
ViPhOG22208	Lambdatorquevirus	Genus	5.8e-40
ViPhOG23614	Seunavirus	Genus	5e-43
ViPhOG10132	Cytomegalovirus	Genus	5.6e-23
ViPhOG25689	Hendrixvirus	Genus	1.3e-36
ViPhOG6420	Alphaarterivirus	Genus	2e-75
ViPhOG1576	Orthopoxvirus	Genus	3.9e-66
ViPhOG1651	Orthopoxvirus	Genus	1.3e-176
ViPhOG6597	Megalocytivirus	Genus	1.4e-48
ViPhOG2535	Orthopoxvirus	Genus	8.3e-56
ViPhOG1234	Rubivirus	Genus	9.3e-193
